rank,region_mode,onset_floor,onset_power,root_power,cap_fraction,target_scale,dataset,condition,model_CL,cfd_CL,rel_CL_error,model_CD,cfd_CD,rel_CD_error,max_rel_error,mean_rel_error,body_delta_CL,body_symmetric_relief_CL
1,chord_0.55,0.15,2.0,0.5,0.95,1.0,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0031680780792991384,0.08217872891795812,0.0
1,chord_0.55,0.15,2.0,0.5,0.95,1.0,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.02604639453179205,0.02602059475743992,0.0009915136295933719,0.012254102926460616,0.0031680780792991384,-0.02149118509593383,0.0
1,chord_0.55,0.15,2.0,0.5,0.95,1.0,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.0031680780792991384,-1.2675366117429173e-16,0.0
1,chord_0.55,0.15,2.0,0.5,0.95,1.0,intendedvalidation2,takeoff,0.38703022707799467,0.38494661682970055,0.005412725186297468,0.023448074531343222,0.02344952915434802,6.203207728496188e-05,0.012254102926460616,0.0031680780792991384,-0.26922241696819155,-0.26922241696819155
2,chord_0.70,0.15,1.0,0.5,0.8,1.0,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0031680780792991566,0.08217872891795812,0.0
2,chord_0.70,0.15,1.0,0.5,0.8,1.0,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.02604639453179205,0.02602059475743992,0.0009915136295933719,0.012254102926460616,0.0031680780792991566,-0.02149118509593383,0.0
2,chord_0.70,0.15,1.0,0.5,0.8,1.0,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.0031680780792991566,-1.2675366117429173e-16,0.0
2,chord_0.70,0.15,1.0,0.5,0.8,1.0,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023448074531343222,0.02344952915434802,6.203207728496188e-05,0.012254102926460616,0.0031680780792991566,-0.2692224169681915,-0.2692224169681915
3,chord_0.70,0.15,1.0,0.5,0.95,1.0,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0031680780792991566,0.08217872891795812,0.0
3,chord_0.70,0.15,1.0,0.5,0.95,1.0,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.02604639453179205,0.02602059475743992,0.0009915136295933719,0.012254102926460616,0.0031680780792991566,-0.02149118509593383,0.0
3,chord_0.70,0.15,1.0,0.5,0.95,1.0,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.0031680780792991566,-1.2675366117429173e-16,0.0
3,chord_0.70,0.15,1.0,0.5,0.95,1.0,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023448074531343222,0.02344952915434802,6.203207728496188e-05,0.012254102926460616,0.0031680780792991566,-0.2692224169681915,-0.2692224169681915
4,chord_0.70,0.15,1.0,1.0,0.8,1.0,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0031680780792991566,0.08217872891795812,0.0
