alpha,beta,airspeed,CL,CD,CY,Cl,Cm,Cn,CLa,CDa,CYa,Cla,Cma,Cna,CLb,CDb,CYb,Clb,Cmb,Cnb,CLp,CDp,CYp,Clp,Cmp,Cnp,CLq,CDq,CYq,Clq,Cmq,Cnq,CLr,CDr,CYr,Clr,Cmr,Cnr
-90.0,0.0,19.94857498845234,-0.15254599648572492,2.072142441783357,0.0,-0.0,0.46777255529750295,-0.0,-2.727950070260092,-0.1664664795644479,0.0,-0.0,2.9626931925406543,-0.0,1.41968995689521e-05,-2.975932283118055e-07,2.71109108447279,-0.734136106953569,-1.2240445758906634e-07,0.15060317529880865,1.159822509932528e-07,-2.4312021320088733e-09,-0.15006404765286666,-0.4777270280824985,8.94534720427465e-10,0.025118660723180322,0.025729373599651245,-0.4740335972336132,0.0,-0.0,-0.4109733310775679,-0.0,-1.3344239107575426e-07,2.797198906775908e-09,0.16672646294275262,-0.17045327913521585,-1.3744902157859244e-08,0.12089450726199219
-85.0,0.0,19.94857498845234,-0.36602498481589263,2.042481623867711,0.0,-0.0,0.6006532464191193,-0.0,-2.165165943015618,-0.5165008183794448,0.0,-0.0,0.4441436496868287,-0.0,1.8546001984190723e-05,-9.328026121363283e-07,2.6490211953956764,-0.6156789982281341,-5.423536258915869e-07,0.0913494412566184,1.8589334195953393e-07,-9.349820805915159e-09,-0.13755265185566515,-0.4898368857316935,-2.5006946609460585e-09,0.03898559852680648,0.05672768156623415,-0.4827178650344668,0.0,-0.0,-0.3318379970115242,-0.0,-4.4973412175230783e-07,2.2620140123052382e-08,0.09181534974674127,-0.11266607036318856,-1.001863733347827e-08,0.030118026776371997
-80.0,0.0,19.94857498845234,-0.5430662331191688,1.9824802440922937,0.0,-0.0,0.6158279089879216,-0.0,-1.901592566173637,-0.8556338044231366,0.0,-0.0,0.010701953293535696,-0.0,-1.7832067585346731e-06,1.330709391261863e-07,2.398758887790284,-0.4351755575642298,1.1898612318298861e-08,0.045459877509639555,-7.269911654562844e-08,5.425136309136681e-09,-0.12357182612003198,-0.49582569579402425,2.977717316311308e-09,0.042010227374774674,0.09725764054537633,-0.48374992850038984,0.0,-0.0,-0.32200893421343024,-0.0,4.726673921425477e-07,-3.527257479454317e-08,0.02752504331832704,-0.0727539799171792,-2.2519965292717187e-08,0.013544668365577012
-75.0,0.0,19.94857498845234,-0.6974499511471649,1.8937173479337845,0.0,-0.0,0.6098965878078204,-0.0,-1.6300648211152713,-1.174927839514634,0.0,-0.0,-0.130945443964429,-0.0,-4.081227300033801e-05,3.9114028838410655e-06,2.181432128316619,-0.32937434872457777,3.6525904935810723e-06,0.02931609583352947,-5.73891002393123e-07,5.500107583050721e-08,-0.11507357361769993,-0.49266044295887845,5.05247415189305e-08,0.04335200248523896,0.13814632016713185,-0.4784304418091516,0.0,-0.0,-0.31892623162490147,-0.0,2.283318017537152e-06,-2.1883066101714776e-07,0.0070003149330453715,-0.07033655419763458,-1.9768032884947638e-07,0.00737930405890176
-70.0,0.0,19.94857498845234,-0.8263928782017823,1.7781749037989547,0.0,-0.0,0.5943391161053874,-0.0,-1.3188787215242348,-1.4680628381009326,0.0,-0.0,-0.22176729378466428,-0.0,-9.405089210273573e-05,1.0680170982349765e-05,1.972871866825498,-0.2630060466838787,1.1656107041974558e-05,0.02151472870595021,-1.2607978330472523e-06,1.4317287298743228e-07,-0.10834027268318118,-0.48390285179948567,1.610221053620848e-07,0.04380604564134883,0.176530427961624,-0.4665311461124293,0.0,-0.0,-0.314082189603473,-0.0,4.779981049679569e-06,-5.428020272999893e-07,-0.002605969555114349,-0.07577456502259497,-6.305417552814269e-07,0.003376364745139641
-65.0,0.0,19.94857498845234,-0.9267039143797966,1.6385222594002096,0.0,-0.0,0.5716010781490618,-0.0,-0.9756494419893487,-1.7256753248721997,0.0,-0.0,-0.2977833037849512,-0.0,-0.00015618055191535794,1.9888254604827574e-05,1.7624934906280565,-0.21731880141601398,2.4362220508730783e-05,0.016833162542027116,-2.0655611864398873e-06,2.6303151242410423e-07,-0.10215263711473023,-0.47109085920415544,3.420071569108897e-07,0.04329436053663383,0.21105719615785254,-0.44807470745003714,0.0,-0.0,-0.30699777632791847,-0.0,7.71924570785587e-06,-9.829797763692617e-07,-0.008255905019154986,-0.08206631327700609,-1.3621746724756148e-06,0.0011016690378127946
-60.0,0.0,19.94857498845234,-0.9960687428332234,1.4783781694289313,0.0,-0.0,0.5425966483539103,-0.0,-0.6115740638534588,-1.9354245423066838,0.0,-0.0,-0.3656979048209877,-0.0,-0.0002213276091120607,3.029379100245953e-05,1.5486943215145277,-0.18343606789504188,4.11504597209021e-05,0.013592478379934268,-2.912787698310859e-06,3.9868221648794303e-07,-0.09609150912998012,-0.45500363340273575,5.868348344673933e-07,0.04173455818121531,0.24056239659722337,-0.423389545432093,0.0,-0.0,-0.29783040095894453,-0.0,1.0828660873322177e-05,-1.4821521393130938e-06,-0.01192655321457141,-0.08719848682630181,-2.3743213391080207e-06,0.000385097716558091
-55.0,0.0,19.94857498845234,-1.0331880315928013,1.3025281141686775,0.0,-0.0,0.5080051116434714,-0.0,-0.23875988401214565,-2.083300345597104,0.0,-0.0,-0.42565403575958866,-0.0,-0.0002834881577521671,4.0247879932567466e-05,1.3336700001949047,-0.1568005471145398,6.056383730418851e-05,0.011159634823796529,-3.7250596023518057e-06,5.2886072139405e-07,-0.0900297651483946,-0.4360488156656392,8.759650613520404e-07,0.03925471810245149,0.26416850593942254,-0.39302516957235345,0.0,-0.0,-0.28674677870923926,-0.0,1.382689769625014e-05,-1.963056667797813e-06,-0.014316732699125222,-0.0906797713836253,-3.5927392752898824e-06,0.0007407338340670844
-50.0,0.0,19.94857498845234,-1.0378772204767819,1.116943203246999,0.0,-0.0,0.46857610079392514,-0.0,0.12930666563822993,-2.156781890041801,0.0,-0.0,-0.4763423600846605,-0.0,-0.00033697965941891113,4.8059404752058586e-05,1.1213635747830257,-0.1348978811526919,8.055046998691586e-05,0.009263938229109281,-4.4287074982204475e-06,6.316139275414549e-07,-0.08394404260775282,-0.4144852615961997,1.1800607536306185e-06,0.03618137797086362,0.2813384245491999,-0.35766291103420533,0.0,-0.0,-0.2738605621161359,-0.0,1.6444507341924576e-05,-2.345284684700936e-06,-0.01574410791573674,-0.09247489790189503,-4.89838145012686e-06,0.0015390672402707454
-45.0,0.0,19.94857498845234,-1.0111796834811169,0.9284636152316558,0.0,-0.0,0.4251582500988316,-0.0,0.4781265031682385,-2.1494552188462897,0.0,-0.0,-0.5172045468346135,-0.0,-0.00037690419093868723,5.2370656989980114e-05,0.9165253920000042,-0.11627393357382987,9.878360499073648e-05,0.007755518111642711,-4.9597513223971955e-06,6.891550731048431e-07,-0.0778453503160323,-0.3906484464476528,1.4644422292770474e-06,0.032873005032362505,0.2918340599751232,-0.318064749422774,0.0,-0.0,-0.25925481442015147,-0.0,1.84453708973156e-05,-2.5629754604530286e-06,-0.016392490674610953,-0.09252968039914405,-6.144999697315627e-06,0.002292341979642039
